Player,UID,Acc,Agi,Pac,Wor,Jum,Fir,Dri,Cmp,Sta,Pos,Cnt,Fre,Cor,Fin,OtB,Pas,Tec,Ant,Dec,Lon,Fla,Tck,Hea,Agg,Bra,Bal,Str,Det,Mar,Vis,Tea,Cro,Ldr,Nat,L Th,Pen,Aer,Cmd,Com,Ecc,Han,Kic,Pun,1v1,Ref,TRO,Thr,Age,Team
Mikel Bengoetxea,2000510871.0,12.0,14.0,14.0,16.0,14.0,10.0,9.0,12.0,15.0,11.0,14.0,4.0,7.0,0.0,8.0,10.0,7.0,12.0,11.0,7.0,5.0,16.0,13.0,11.0,13.0,15.0,13.0,18.0,13.0,12.0,19.0,0.0,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,apamplonab
Iñigo Llorente,2000510870.0,16.5,14.5,9.5,14.5,5.5,11.0,9.5,9.0,14.5,10.5,7.5,0.0,0.0,0.0,0.0,10.5,11.5,8.5,15.5,10.5,0.0,6.5,3.5,8.5,9.5,11.5,9.0,13.0,9.5,0.0,14.5,0.0,12.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,apamplonab
Iosu Pérez,2000510877.0,12.5,11.5,8.5,17.5,10.5,7.0,4.0,6.0,17.5,14.5,11.5,6.5,4.5,0.0,3.5,9.5,7.5,11.5,13.5,10.5,6.5,8.5,4.5,12.5,16.5,17.0,12.0,6.0,8.5,7.5,11.5,0.0,10.5,14.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,apamplonab
Christian Díaz,2000510073.0,9.0,13.0,13.0,15.0,15.0,6.0,6.0,6.0,13.0,11.0,14.0,2.5,2.5,0.0,5.0,6.0,4.0,13.0,11.0,5.0,6.0,7.0,8.0,16.0,16.0,12.0,11.0,12.0,12.0,13.0,14.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,badalona
Jesús García,2000443709.0,6.5,0.0,4.5,10.5,13.5,5.0,0.0,8.0,13.5,11.5,9.5,0.0,0.0,0.0,0.0,6.5,12.5,10.5,16.5,0.0,0.0,6.5,4.5,13.5,0.0,0.0,12.0,5.0,10.5,0.0,5.5,0.0,5.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,badalona
Eugenio,2000196447.0,10.0,8.0,10.0,8.0,13.0,11.0,7.0,10.0,14.0,11.0,11.0,4.0,4.0,0.0,4.0,10.0,16.0,9.0,14.0,6.0,9.0,8.0,6.0,11.0,8.0,16.0,9.0,14.0,11.0,7.0,9.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,badalona
Oriol Valentín,2000632214.0,11.5,12.5,13.5,8.5,14.0,13.5,9.5,15.5,12.5,12.5,13.0,4.0,6.0,0.0,7.5,10.5,6.5,15.5,9.5,4.5,11.0,14.5,12.5,15.5,6.5,10.5,15.5,19.5,13.0,9.5,12.5,0.0,10.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,eibar
Iván Calero,67176056.0,9.0,8.0,9.0,14.0,7.0,15.0,9.0,14.0,7.0,12.0,13.0,8.0,8.0,7.0,12.0,13.0,12.0,14.0,8.0,6.0,11.0,14.0,11.0,7.0,8.0,12.0,8.0,15.0,12.0,13.0,13.0,13.0,11.0,14.0,5.0,8.0,3.5,1.5,5.0,2.5,2.5,2.5,2.0,2.5,2.0,4.0,3.0,33.0,eibar
Pablo López,2000612702.0,17.0,17.0,17.0,9.0,11.0,11.0,8.0,6.0,14.0,7.0,9.0,3.0,4.0,5.0,8.0,9.0,14.0,9.0,9.0,5.0,6.0,12.0,7.0,10.0,18.0,12.0,10.0,15.0,9.0,10.0,11.0,7.0,6.0,13.0,7.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,19.0,girona
Yeray Ortega,2000199817.0,7.0,15.0,13.0,15.0,17.5,10.0,7.0,8.0,14.0,14.0,14.0,5.0,6.0,7.0,8.0,8.0,9.0,18.0,13.0,5.0,5.0,12.0,10.0,5.0,14.0,16.0,9.0,9.0,13.0,9.0,12.0,4.0,13.0,13.0,6.0,10.0,2.5,2.5,2.0,4.0,2.5,5.0,3.0,4.0,2.0,2.0,2.0,23.0,girona
Andrés Romero,2000193995.0,8.0,9.5,9.5,14.5,17.5,5.5,3.0,4.5,13.5,13.5,15.5,0.0,0.0,0.0,0.0,7.0,10.5,9.5,15.5,4.5,0.0,9.5,8.5,10.0,17.5,9.5,6.5,10.5,12.5,0.0,7.5,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,girona
Diogo Fonseca,2000197949.0,12.5,0.0,9.5,9.5,6.5,9.5,0.0,10.5,10.5,13.5,11.5,0.0,0.0,0.0,0.0,10.5,5.5,14.0,12.5,0.0,0.0,9.5,6.5,19.0,0.0,0.0,10.5,6.5,6.5,0.0,15.5,0.0,17.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,hospitalet
Luis Iglesias,2000440882.0,9.0,11.0,12.0,11.0,16.0,7.0,8.0,8.0,11.0,12.0,13.0,9.0,6.0,0.0,5.0,8.0,8.0,12.0,14.0,4.0,5.0,13.0,12.0,10.0,14.0,13.0,11.0,14.0,10.0,11.0,17.0,0.0,3.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,hospitalet
Chechu,2000629747.0,11.0,13.0,11.0,11.0,5.0,6.0,6.0,8.0,11.0,9.0,13.0,9.0,5.0,4.0,5.0,13.0,10.0,11.0,10.0,4.0,13.0,13.0,10.0,11.0,15.0,13.0,8.0,10.0,10.0,9.0,16.0,5.0,14.0,15.0,8.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,18.0,hospitalet
Vladimir Fati,2000680262.0,11.0,0.0,11.0,12.0,15.0,6.0,0.0,6.0,13.0,7.0,11.0,0.0,0.0,0.0,0.0,8.0,6.0,10.0,13.0,0.0,0.0,15.0,10.0,9.0,0.0,0.0,8.0,12.0,9.0,0.0,16.0,0.0,13.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,hospitalet
José Antonio Zubillaga,2000443802.0,14.5,0.0,10.0,14.5,11.5,6.5,0.0,7.5,14.5,10.5,11.5,0.0,0.0,0.0,0.0,9.5,6.5,5.5,9.5,0.0,0.0,12.0,5.0,14.5,0.0,0.0,11.5,13.5,7.5,0.0,17.5,0.0,8.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,hospitalet
Bilal Aceña,2000514725.0,9.0,0.0,5.5,11.5,15.5,3.0,0.0,3.5,11.5,11.5,8.5,0.0,0.0,0.0,0.0,5.0,7.5,7.5,13.5,0.0,0.0,11.5,4.0,11.0,0.0,0.0,4.5,9.5,12.5,0.0,6.5,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,hospitalet
Sandro,2000515229.0,15.0,0.0,11.5,10.5,14.5,3.5,7.5,3.5,12.5,0.0,0.0,0.0,0.0,5.5,6.5,9.0,8.5,0.0,7.5,10.5,8.5,0.0,3.5,12.0,0.0,0.0,6.5,6.5,0.0,5.5,0.0,9.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,hospitalet
Hugo Rincón,2000065892.0,16.0,14.0,13.0,10.0,5.0,11.0,8.0,12.0,11.0,14.0,9.0,4.0,5.0,2.5,6.0,13.0,9.0,13.0,12.0,3.5,3.0,15.0,9.0,11.0,10.0,11.0,12.0,3.5,9.0,8.0,12.0,12.0,8.0,15.0,10.0,6.0,3.0,2.5,3.0,2.5,4.0,3.0,2.5,1.0,2.0,3.0,3.0,25.0,leonesa
Eneko Aguilar,67297733.0,13.0,11.0,11.0,12.0,5.0,11.0,7.0,10.0,13.0,14.0,10.0,12.0,6.0,8.0,10.0,12.0,11.0,10.0,11.0,12.0,8.0,8.0,9.0,8.0,10.0,14.0,12.0,8.0,0.0,13.0,13.0,11.0,9.0,13.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,lleida
Julio Lizárraga,2000631089.0,9.0,0.0,13.0,9.0,15.0,5.0,0.0,4.0,10.0,8.0,13.0,0.0,0.0,0.0,0.0,4.0,9.0,12.0,10.0,0.0,0.0,14.0,14.0,7.0,0.0,0.0,12.0,15.0,15.0,0.0,16.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,lleida
Abdel Soyinkou,2000713015.0,10.5,0.0,14.5,14.0,14.0,7.0,9.5,6.0,14.0,5.5,13.0,0.0,0.0,0.0,0.0,5.0,8.0,12.5,9.0,0.0,0.0,13.5,10.5,4.5,3.5,7.5,8.0,8.0,10.0,0.0,13.5,0.0,2.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,lleida
Eneko Magunazelaia,2000741128.0,9.5,0.0,7.0,13.0,11.5,9.0,0.0,8.0,8.0,11.5,5.5,0.0,0.0,0.0,0.0,9.5,8.0,4.5,13.0,0.0,0.0,9.0,5.0,10.5,0.0,0.0,7.0,11.0,6.5,0.0,12.0,0.0,5.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,lleida
Luis Alberto,2000197811.0,9.5,14.5,15.5,10.5,16.0,10.5,7.5,8.5,13.5,10.5,13.0,0.0,0.0,0.0,0.0,10.5,4.5,10.5,10.5,3.0,0.0,10.5,8.5,12.5,8.5,14.5,17.5,16.5,9.0,0.0,11.5,0.0,4.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,logrones
David Carmona,67188934.0,12.0,12.0,10.0,15.0,11.0,9.0,11.0,11.0,14.0,12.0,14.0,6.0,8.0,5.0,13.0,12.0,13.0,12.0,13.0,8.0,14.0,11.0,5.0,10.0,10.0,10.0,7.0,7.0,13.0,10.0,11.0,12.0,12.0,13.0,10.0,6.0,3.0,5.0,1.0,5.0,2.5,2.5,3.0,3.0,3.0,2.0,1.5,31.0,logrones
Gorka Iglesias,2000570645.0,14.0,12.0,11.0,15.0,15.0,10.0,6.0,10.0,14.0,12.0,11.0,5.0,7.0,5.0,6.0,11.0,8.0,11.0,14.0,9.0,5.0,12.0,8.0,3.0,13.0,15.0,13.0,17.0,10.0,7.0,10.0,10.0,8.0,15.0,11.0,6.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,19.0,logrones
Pablo Sanz,2000685487.0,12.0,0.0,14.0,10.0,8.0,10.0,0.0,11.0,8.0,10.0,6.0,0.0,0.0,0.0,0.0,13.0,6.0,11.0,8.0,0.0,0.0,15.0,9.0,17.5,0.0,0.0,12.0,15.0,9.0,0.0,8.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,logrones
Yeray Zabalo,2000438356.0,13.0,14.0,13.0,16.0,14.0,7.0,4.0,8.0,16.0,12.0,11.0,0.0,0.0,6.0,6.0,12.0,8.0,9.0,11.0,7.0,3.5,13.0,8.0,11.0,13.0,12.0,15.0,12.0,7.0,6.0,18.5,5.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,logrones
Marcos Trabanco,2000016812.0,10.0,14.0,11.0,14.0,5.0,12.0,17.0,10.0,15.0,0.0,9.0,9.0,8.0,9.0,15.0,10.0,14.0,11.0,13.0,5.0,14.0,13.0,9.0,13.0,10.0,7.0,8.0,12.0,0.0,4.0,14.0,7.0,10.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,logrones
Alex Aketxe,2000443798.0,15.0,12.5,11.0,13.0,15.0,10.0,13.5,7.5,14.0,8.0,10.5,6.5,8.5,5.5,9.5,12.0,14.0,10.5,12.0,9.0,11.5,9.0,7.0,16.0,15.5,13.5,10.0,15.0,8.0,12.0,14.0,12.0,5.0,9.0,3.5,5.5,2.5,2.5,1.5,2.5,3.0,2.0,2.5,4.5,2.5,2.0,2.0,22.0,mirandes
Diego Alende,67199156.0,11.0,9.5,11.0,13.0,10.0,12.0,7.5,9.5,11.0,13.0,14.5,5.5,3.5,4.5,11.5,14.0,12.0,14.5,13.0,8.0,9.5,14.0,12.0,13.0,13.5,11.5,13.0,8.0,13.0,10.0,12.0,4.0,8.0,13.0,3.5,6.5,1.5,3.0,2.0,4.5,3.0,2.0,4.0,4.5,2.5,2.0,1.0,31.0,mirandes
Felipe Núñez,2000197172.0,11.5,9.0,11.5,11.5,10.5,9.5,5.0,8.5,10.5,11.5,10.5,0.0,0.0,0.0,0.0,11.5,4.0,11.0,12.5,3.0,0.0,13.5,9.5,10.5,12.5,13.5,9.5,8.5,7.5,0.0,12.5,0.0,8.5,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,mirandes
Luis Jiménez,2000441678.0,13.0,15.0,16.0,10.0,13.0,10.0,5.0,9.0,11.0,9.0,12.0,2.0,5.0,0.0,9.0,10.0,4.0,9.0,11.0,4.0,10.0,8.0,8.0,8.0,17.5,15.0,13.0,14.0,8.0,8.0,16.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,numantia
Víctor Dieste,2000440740.0,8.0,11.0,11.0,14.0,11.0,9.0,7.0,12.0,11.0,10.0,12.0,5.0,6.0,0.0,4.0,10.0,6.0,9.0,14.0,3.0,6.0,16.0,9.0,12.0,17.5,7.0,12.0,11.0,10.0,8.0,17.5,6.0,12.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,olot
Álex Petxarromán,67246376.0,10.0,12.0,11.0,8.0,8.0,8.0,7.0,13.0,6.0,10.0,10.0,2.5,4.0,0.0,4.0,10.0,7.0,12.0,12.0,2.5,5.0,13.0,8.0,9.0,10.0,8.0,9.0,17.0,14.0,8.0,11.0,5.0,10.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,olot
Ryan Pole,76062797.0,10.5,14.5,12.5,12.5,9.5,7.5,11.5,5.5,12.5,11.0,13.5,0.0,0.0,0.0,0.0,6.5,13.5,14.5,11.5,10.5,0.0,11.5,7.5,11.5,14.0,10.0,7.5,8.5,11.5,0.0,10.5,0.0,8.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,ponferrada
Gorka Merino,2000441525.0,9.5,8.5,4.5,12.5,9.5,10.0,4.5,10.0,18.0,12.5,0.0,0.0,0.0,10.5,4.5,11.5,15.5,0.0,0.0,10.5,6.5,8.5,3.0,6.5,18.0,17.0,13.0,9.0,0.0,6.5,8.5,6.5,9.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,ponferrada
Edgar Fernández,2000514789.0,8.0,0.0,11.0,9.0,13.0,13.0,0.0,13.0,8.0,7.0,10.0,0.0,0.0,0.0,0.0,7.0,4.0,14.0,9.0,0.0,0.0,11.0,8.0,14.0,0.0,0.0,12.0,16.0,11.0,0.0,17.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,ponferrada
Borja Esnaola,2000438807.0,10.0,8.5,7.5,10.5,13.5,3.5,3.5,6.5,12.5,11.5,14.5,0.0,0.0,0.0,0.0,7.0,11.5,12.5,14.5,8.5,0.0,10.5,9.5,10.0,12.5,9.5,9.5,8.5,15.5,0.0,9.5,0.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,pontevedra
Fernando Juan,2000198639.0,12.0,11.0,12.0,14.0,14.0,7.0,5.0,11.0,12.0,13.0,12.0,4.0,7.0,4.0,5.0,7.0,4.0,13.0,13.0,5.0,3.0,11.0,11.0,8.0,11.0,10.0,12.0,13.0,12.0,9.0,11.0,4.0,12.0,14.0,8.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,23.0,pontevedra
Andrés Alcántara,2000440886.0,14.0,13.5,7.5,16.5,9.5,4.5,8.5,5.5,16.5,8.5,13.5,0.0,0.0,0.0,0.0,10.0,11.5,11.5,11.5,10.5,0.0,8.5,4.5,7.0,8.5,11.5,8.5,5.5,14.5,0.0,10.5,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,pontevedra
Pablo Jurado,2000681314.0,5.5,0.0,8.0,13.0,12.5,5.0,0.0,9.5,10.0,8.0,12.5,0.0,0.0,0.0,0.0,3.0,7.0,14.5,12.0,0.0,0.0,11.0,10.0,9.5,0.0,0.0,7.5,9.5,16.0,0.0,9.0,0.0,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,pontevedra
Abel Pascual,67215623.0,8.0,15.0,12.0,9.0,12.0,9.0,4.0,7.0,7.0,13.0,14.0,2.0,6.0,0.0,8.0,7.0,7.0,14.0,11.0,3.0,6.0,12.0,12.0,12.0,10.0,8.0,11.0,5.0,13.0,6.0,9.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,pontevedra
Diego Ceballos,67269375.0,11.0,16.0,14.0,13.0,9.0,10.0,10.0,11.0,10.0,9.0,13.0,5.0,9.0,6.0,12.0,8.0,11.0,13.0,11.0,8.0,8.0,11.0,9.0,10.0,12.0,11.0,7.0,13.0,13.0,10.0,11.0,9.0,7.0,10.0,10.0,11.0,2.5,3.0,2.0,4.0,1.0,3.0,3.0,3.0,2.5,3.0,2.5,28.0,pontevedra
David Krecek,2000569970.0,12.0,13.0,14.0,17.0,15.0,8.0,8.0,10.0,16.0,13.0,11.0,7.0,6.0,6.0,6.0,8.0,6.0,13.0,10.0,2.0,4.0,14.0,12.0,18.0,15.0,17.0,12.0,12.0,11.0,13.0,17.0,4.0,8.0,13.0,6.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,20.0,rsanb
Stefán Þór Jónsson,2000531873.0,11.0,12.0,11.0,14.0,16.0,8.0,7.0,8.0,13.0,10.0,12.0,4.0,6.0,4.0,8.0,10.0,9.0,13.0,12.0,5.0,4.0,17.0,8.0,15.0,13.0,10.0,13.0,12.0,12.0,7.0,12.0,5.0,12.0,13.0,11.0,8.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,20.0,rsanb
Özgün Karatepe,2000631119.0,13.0,14.0,15.0,13.0,12.0,11.0,11.0,13.0,15.0,14.0,15.0,6.0,7.0,6.0,8.0,10.0,9.0,15.0,15.0,7.0,4.0,11.0,9.0,11.0,18.0,10.0,12.0,12.0,13.0,8.0,11.0,10.0,6.0,15.0,12.0,7.0,3.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,2.0,19.0,rsanb
Matt Bonfield,2000567798.0,12.0,15.0,13.0,12.0,9.0,8.0,6.0,8.0,16.0,13.0,11.0,4.0,6.0,4.0,8.0,9.0,7.0,13.0,13.0,7.0,10.0,10.0,9.0,7.0,19.0,12.0,7.0,12.0,12.0,12.0,10.0,9.0,8.0,13.0,6.0,8.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,20.0,rsanb
Adama Mendy,2000663542.0,15.5,8.5,10.0,11.5,11.5,9.5,4.5,9.5,10.5,13.5,9.5,7.5,3.5,0.0,3.5,11.5,11.5,7.5,14.5,6.5,4.5,9.0,13.0,8.5,18.5,12.5,11.5,12.5,6.5,9.0,12.0,0.0,13.5,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,rsantander
Ángel López,95078297.0,12.0,13.0,11.0,12.0,11.0,10.0,13.0,9.0,11.0,14.0,15.0,5.0,9.0,4.0,10.0,12.0,11.0,12.0,12.0,10.0,9.0,12.0,10.0,8.0,10.0,13.0,10.0,8.0,12.0,9.0,11.0,6.0,7.0,10.0,5.0,9.0,2.5,2.0,2.0,3.0,1.0,4.0,2.5,3.0,4.0,3.0,3.0,25.0,rsantander
Vicente Agulló,2000031433.0,12.0,14.0,15.0,10.0,5.0,14.0,14.0,12.0,8.0,5.0,9.0,2.5,6.0,0.0,9.0,11.0,9.0,10.0,9.0,2.5,8.0,9.0,8.0,7.0,7.0,14.0,9.0,7.0,5.0,8.0,14.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,rsantander
Carlos Isaac,67228752.0,14.0,12.0,13.5,12.0,10.0,10.5,9.0,10.5,9.0,12.0,13.5,2.0,5.5,2.5,10.0,10.0,10.0,12.0,13.0,5.0,7.5,15.0,11.0,9.0,9.5,5.5,5.5,2.5,12.0,10.5,11.5,9.0,13.0,8.0,7.5,5.0,4.5,3.0,2.0,2.5,2.0,3.0,2.0,2.0,1.5,4.5,2.0,30.0,sabadell
Luis,2000193720.0,11.0,13.0,13.0,13.0,6.0,6.0,8.0,7.0,12.0,13.0,12.0,11.0,7.0,4.0,7.0,4.0,7.0,14.0,14.0,6.0,11.0,13.0,6.0,9.0,13.0,14.0,10.0,9.0,11.0,8.0,11.0,3.0,10.0,2.5,6.0,6.0,2.5,3.0,3.0,3.5,1.0,4.0,2.0,3.5,2.0,2.5,2.0,23.0,sabadell
Carlos,2000512225.0,10.0,10.0,10.0,4.0,12.0,13.0,6.0,11.0,8.0,0.0,8.0,8.0,0.0,4.0,9.0,16.0,9.0,9.0,10.0,4.0,11.0,14.0,8.0,19.0,17.0,14.0,11.0,17.0,0.0,11.0,9.0,7.0,12.0,17.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,sabadell
