Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
Àlex Collado,67246435.0,2.5,11.88,13.0,12.17,3.25,2.0,2.5,3.25,leganes
Che Nunnely,37055838.0,2.25,12.5,16.5,11.17,2.5,2.0,2.0,2.5,leganes
Freddy Vargas,86061304.0,3.25,13.25,13.0,12.58,1.75,3.5,2.5,2.5,leganes
Olaus Skarsem,89051875.0,2.5,9.5,13.0,10.92,2.5,2.5,2.25,2.25,leganes
Ifeanyi Mathew,53141633.0,3.0,12.5,11.0,12.83,2.5,2.0,2.0,3.0,leganes
Nils Mortimer,67265795.0,1.75,12.5,14.5,11.08,1.75,2.5,3.0,2.75,leganes
Miguel,2000192899.0,2.5,14.38,15.75,11.67,2.0,3.5,3.0,2.5,leganes
Adrian Molina,2000570287.0,2.5,14.25,16.0,10.0,4.25,1.5,2.0,2.75,realhisp
Fabio Blanco,2000034357.0,2.0,13.62,16.0,10.17,2.25,2.5,3.75,1.75,realhisp
Friday Opara,2000442249.0,2.25,13.0,11.5,13.08,2.75,3.0,1.75,4.0,realhisp
Raheem Sterling,28054109.0,2.5,14.25,14.5,14.33,2.5,2.0,3.0,2.5,rmdrd
Jadon Sancho,28108490.0,2.75,13.5,16.0,12.0,3.25,2.0,3.25,2.25,rmdrd
Pedro Porro,67268221.0,2.0,15.0,16.0,13.5,1.5,2.0,2.5,2.25,rmdrd
Ciprian Trandafir,2000189363.0,2.5,14.5,15.5,11.83,2.5,2.0,1.25,3.25,rmdrd
John Bueno,2000419425.0,2.5,17.5,14.0,12.5,1.5,1.0,1.5,1.0,rsana
Kai Ocaña,2000194470.0,2.0,15.0,15.5,12.83,2.5,2.0,2.5,2.5,rsana
Felipe,2000510074.0,2.5,15.25,13.0,12.33,2.0,2.0,1.5,2.0,rsana
Koldo Valencia,2000663358.0,2.5,11.0,14.5,12.0,1.5,2.0,3.0,2.0,rsana
Agustín,2000440745.0,1.75,14.12,15.5,12.58,3.0,1.5,3.0,2.75,sevilla
Isaac Lihadji,49048366.0,2.75,14.12,15.0,12.67,2.5,2.0,2.25,2.5,sevilla
Raphinha,19242277.0,1.75,11.5,14.0,12.83,1.75,3.0,2.25,1.75,sevilla
Rogelinho,2000439844.0,2.25,10.75,16.0,10.5,2.5,1.5,2.0,2.0,sevilla
Koke,67047092.0,2.5,8.25,4.0,16.25,3.25,4.0,1.5,3.0,sevilla
Morten Thorsby,53098756.0,1.25,14.12,13.5,14.25,2.75,1.5,3.0,3.0,valencia
Nico Serrano,67295206.0,2.25,13.12,15.0,10.25,2.0,3.0,3.25,2.0,valencia
Aron Ehlers,2000194937.0,2.5,13.38,15.5,13.17,2.75,2.5,3.5,2.25,valencia
Bart Ramselaar,37045888.0,3.25,12.5,13.5,13.42,2.25,4.0,1.75,2.0,vallecano
Alberto Leon Fernández,2000631656.0,2.5,12.75,17.0,9.75,2.5,4.0,3.75,2.75,vallecano
Yann Karamoh,85144982.0,3.5,11.12,15.0,9.5,2.5,1.5,3.5,3.0,vallecano
Eugenio,2000632614.0,2.25,13.25,16.0,12.08,3.0,2.5,2.0,2.25,vallecano
Juan Artola,67260216.0,2.25,9.75,13.0,11.42,3.0,2.0,2.25,2.5,vallecano
Mama Baldé,55070279.0,2.75,11.62,14.0,10.67,2.25,3.5,3.25,2.5,vallecano
Gaizka Larrazabal,67256616.0,3.25,13.0,13.5,11.67,3.0,3.5,2.25,1.75,vallecano
Gorka Alarcón,2000194477.0,1.75,14.75,15.0,9.67,2.25,2.0,3.0,3.25,vigo
Dawid Kownacki,96059679.0,1.75,12.88,13.5,13.33,2.75,3.0,2.0,2.25,vigo
Reiss Nelson,28107919.0,3.0,12.5,14.5,10.83,1.75,4.5,2.25,2.5,vigo
Nino,2000511282.0,2.75,11.75,13.0,11.67,2.75,2.0,2.25,3.0,vigo
Andrés Torres,2000628761.0,3.0,13.75,15.0,11.5,1.5,2.0,2.0,1.5,villareal
Samuel Chukwueze,67269484.0,2.25,14.0,16.0,12.33,2.0,1.5,3.25,2.25,villareal
Javi Ontiveros,67211745.0,1.0,12.5,14.5,11.67,1.0,3.0,2.5,1.5,villareal
Gianfranco Giuffrè,2000272929.0,2.5,13.12,15.0,11.17,2.5,2.0,3.0,2.5,villareal
Francisco Conceição,83261140.0,3.25,12.12,13.5,12.33,2.0,2.5,3.0,1.75,villareal
Álex,2000509919.0,1.75,12.38,15.5,12.5,2.0,3.5,2.25,3.0,villareal
Alejandro Balde,67296654.0,2.5,13.75,14.0,12.75,2.5,3.0,2.0,2.75,zaragoza
Ismaïla Sarr,48042766.0,3.5,13.5,15.5,12.17,2.25,3.0,1.75,2.25,zaragoza
Ruben Vargas,98041215.0,1.75,13.38,14.0,12.42,3.0,2.0,2.5,3.25,zaragoza
Fernando Silva,2000439540.0,2.25,15.38,17.5,12.92,2.75,3.0,1.75,4.25,zaragoza
Malcom,19229435.0,2.25,13.5,15.0,12.33,3.0,2.5,2.5,2.25,zaragoza
Marvin,67277459.0,4.5,11.75,15.0,9.67,3.25,3.5,2.0,1.5,zaragoza
