Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC,Team
Cezary Miszta,96122113,12.08,10.38,10.38,10.31,10.12,10.12,9.91,9.71,9.71,10.14,9.56,9.56,9.97,9.62,espanyol
Arnau Tenas,67265794,11.73,9.86,9.86,9.88,9.6,9.6,9.48,9.21,9.21,9.53,9.08,9.08,9.49,8.76,granada
Cristian Rivero,67246343,10.76,8.95,8.95,8.82,8.69,8.69,8.75,8.57,8.57,8.81,8.63,8.63,8.87,8.01,granada
Koke Vegas,67196252,11.62,9.63,9.63,9.76,9.25,9.25,9.31,8.96,8.96,9.27,8.82,8.82,9.12,8.94,laspalmas
Alfredo Iglesias,2000194460,10.82,9.31,9.31,9.15,8.99,8.99,9.09,8.64,8.64,9.09,8.66,8.66,9.12,7.84,laspalmas
Javi Izquierdo,67288498,11.88,9.72,9.72,9.96,9.27,9.27,9.54,8.92,8.92,9.32,8.76,8.76,9.13,8.64,leganes
Aarón Escandell,67192427,10.84,8.67,8.67,8.88,8.25,8.25,8.43,7.85,7.85,8.18,7.64,7.64,8.02,7.6,leganes
Ramiro Macagno,14157119,11.9,10.05,10.05,9.96,9.78,9.78,9.7,9.48,9.48,9.65,9.52,9.52,9.73,9.12,realhisp
Jairo,2000737759,11.63,9.35,9.35,9.02,9.1,9.1,8.99,8.98,8.98,9.09,8.97,8.97,9.26,8.07,realhisp
Dragan Rosić,62167554,11.38,9.63,9.63,9.58,9.35,9.35,9.19,8.94,8.94,9.15,8.93,8.93,9.15,8.71,realhisp
Thibaut Courtois,18026122,12.17,9.76,9.76,10.42,9.17,9.17,9.95,9.13,9.13,9.9,8.71,8.71,9.38,9.08,rmdrd
Francisco Mora,2000437769,12.59,10.33,10.33,10.47,9.85,9.85,9.98,9.38,9.38,9.97,9.2,9.2,9.69,9.04,rmdrd
Kim Christian Høyenhall,2000182998,11.83,10.12,10.12,10.0,9.98,9.98,9.74,9.52,9.52,9.74,9.48,9.48,9.73,9.01,rsana
Álex Remiro,67183918,12.4,10.45,10.45,10.29,10.3,10.3,10.13,10.04,10.04,10.32,9.89,9.89,10.29,9.53,rsana
Arijanet Murić,28108492,12.35,10.68,10.68,10.52,10.51,10.51,10.29,10.26,10.26,10.54,10.36,10.36,10.61,9.96,sevilla
Gautier Larsonneur,85133818,12.89,10.86,10.86,10.4,10.77,10.77,10.57,10.49,10.49,10.66,10.58,10.58,10.76,9.92,vale
Predrag Rajković,62076152,11.99,10.4,10.4,10.39,10.19,10.19,10.31,9.89,9.89,10.26,9.9,9.9,10.22,10.04,vale
Pedro Javier López,2000202554,12.13,10.07,10.07,9.89,9.79,9.79,9.53,9.45,9.45,9.4,9.44,9.44,9.63,9.04,vallecano
Alex Hernando,2000197164,11.1,8.86,8.86,8.63,8.62,8.62,8.26,8.15,8.15,8.18,8.34,8.34,8.3,7.71,vallecano
Rubén Blanco,67156610,12.45,10.41,10.41,10.16,10.22,10.22,10.12,9.91,9.91,10.28,9.72,9.72,10.13,9.32,vigo
Sergio Rico,67171745,10.24,8.14,8.14,8.38,7.67,7.67,8.11,7.54,7.54,8.05,7.16,7.16,7.68,7.4,vigo
Emrah Ağın,2000244749,12.78,10.8,10.8,10.54,10.52,10.52,10.46,10.09,10.09,10.39,10.02,10.02,10.36,9.62,villareal
Carles,2000192884,11.88,9.76,9.76,9.59,9.54,9.54,9.28,9.06,9.06,9.14,8.93,8.93,9.26,8.6,villareal
José Vicente Muñoz,2000509912,11.87,10.0,10.0,9.82,9.77,9.77,9.7,9.46,9.46,9.68,9.52,9.52,9.66,8.58,villareal
Pablo,2000193992,12.85,10.59,10.59,10.42,10.32,10.32,10.02,9.83,9.83,10.03,9.9,9.9,10.14,9.24,zaragoza
Martín Merino,2000201919,10.93,8.1,8.1,8.37,7.39,7.39,7.7,7.12,7.12,7.37,6.77,6.77,7.39,6.71,zaragoza
