Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
Francisco Conceição,83261140.0,3.25,12.12,13.5,12.33,2.0,2.5,3.0,1.75,espanyol
Jorge De Frutos,67231100.0,2.5,11.5,14.5,12.08,2.75,3.0,2.5,3.0,espanyol
Matías Vargas,14141967.0,2.5,13.75,14.0,12.92,1.75,1.0,2.5,2.0,espanyol
Noé Blasco,2000440885.0,2.0,12.75,14.0,11.5,1.0,1.0,1.5,3.0,espanyol
Moussa Djenepo,6601602.0,2.75,13.12,15.0,12.0,2.0,2.5,2.5,3.0,granada
Domingo Funcasta,2000510087.0,2.0,12.38,15.5,12.42,2.75,4.0,3.0,2.5,granada
Jesse Lingard,28047560.0,2.0,8.38,10.0,13.83,2.75,2.5,3.0,2.75,granada
Javi Galán,67243881.0,2.0,11.25,12.25,14.58,2.25,4.5,2.75,2.5,laspalmas
Isaiah Álvarez,2000630129.0,3.5,12.5,14.0,10.5,3.75,1.5,2.75,2.0,laspalmas
Thomas Michel,2000434743.0,2.25,12.88,13.5,10.67,2.0,3.5,2.5,2.75,laspalmas
Adailson,2000664048.0,1.75,11.62,15.5,9.33,2.25,1.0,4.0,3.25,laspalmas
Àlex Collado,67246435.0,2.5,11.88,13.0,12.17,3.25,2.0,2.5,3.25,leganes
Che Nunnely,37055838.0,2.25,12.5,16.5,11.17,2.5,2.0,2.0,2.5,leganes
Freddy Vargas,86061304.0,3.25,13.25,13.0,12.58,1.75,3.5,2.5,2.5,leganes
Javier Pascua,2000573866.0,3.0,12.75,14.5,10.58,2.75,2.5,3.0,2.0,leganes
Gianluca Bellucci,2000508898.0,1.0,13.0,12.5,11.67,2.0,3.0,1.0,1.0,leganes
Miguel,2000192899.0,2.5,14.38,15.75,11.67,2.0,3.5,3.0,2.5,leganes
Pablo Pérez,2000014927.0,2.75,13.25,15.25,12.42,2.25,2.0,2.75,3.0,realhisp
Valentín Delmás,2000192672.0,3.25,13.75,12.5,13.58,2.0,2.5,2.0,2.0,realhisp
Alexis,2000438631.0,1.25,13.88,16.5,10.08,2.5,2.0,3.0,3.25,realhisp
Txus Alba,2000048420.0,2.25,11.62,12.5,12.08,3.0,1.5,3.5,2.75,realhisp
Eiður Gauti Sigurpálsson,2000355767.0,2.0,13.88,16.0,10.17,2.5,2.5,2.75,1.75,realhisp
Martín Martínez,2000439252.0,2.25,12.88,12.5,11.33,2.25,1.5,2.75,2.0,realhisp
Angeliño,28095342.0,2.5,13.25,12.5,13.83,1.0,1.0,2.5,2.5,rmdrd
Juan Martín Sancho,2000377686.0,2.0,14.5,17.5,12.0,2.5,2.0,2.0,1.5,rmdrd
Raheem Sterling,28054109.0,2.5,14.25,14.5,14.33,2.5,2.0,3.0,2.5,rmdrd
Vinícius Júnior,19302146.0,2.0,13.88,16.5,14.42,2.0,3.0,1.75,1.75,rmdrd
Fabrice Mbassi,2000191910.0,2.25,15.5,14.5,14.0,2.0,2.0,2.75,3.0,rmdrd
Jadon Sancho,28108490.0,2.75,13.5,16.0,12.0,3.25,2.0,3.25,2.25,rmdrd
Matthias Hasa,2000568032.0,2.0,13.75,15.0,10.83,2.0,3.0,1.5,2.5,rsana
Pablo,2000572050.0,3.0,15.0,15.5,9.83,1.0,2.0,3.0,2.0,rsana
Rubén,2000510866.0,3.5,16.0,11.5,14.08,2.5,3.0,2.0,2.25,sevilla
Raphinha,19242277.0,1.75,11.5,14.0,12.83,1.75,3.0,2.25,1.75,sevilla
Munir,67174735.0,2.5,11.12,11.0,12.5,3.0,2.5,2.5,1.5,sevilla
Lucas Ocampos,14031132.0,2.5,11.38,11.5,13.42,2.75,1.5,2.0,2.25,sevilla
Mads Pedersen,27088224.0,3.5,12.25,13.0,12.75,2.0,4.0,1.75,3.5,sevilla
Koke,67047092.0,2.5,8.25,4.0,16.25,3.25,4.0,1.5,3.0,sevilla
Óliver,67169689.0,2.75,8.62,8.0,12.58,3.5,2.0,2.25,2.5,sevilla
Sérgio Mané,2000507867.0,2.0,13.75,13.5,13.0,2.0,2.0,3.0,3.0,valencia
José Gayà,67178177.0,2.5,13.25,14.0,14.67,3.0,3.0,1.5,2.5,valencia
Nico Serrano,67295206.0,2.25,13.12,15.0,10.25,2.0,3.0,3.25,2.0,valencia
Bart Ramselaar,37045888.0,3.25,12.5,13.5,13.42,2.25,4.0,1.75,2.0,vallecano
Yann Karamoh,85144982.0,3.5,11.12,15.0,9.5,2.5,1.5,3.5,3.0,vallecano
Juan Artola,67260216.0,2.25,9.75,13.0,11.42,3.0,2.0,2.25,2.5,vallecano
José Alberto Nieto,2000197171.0,3.5,12.5,12.5,12.42,2.0,3.0,1.75,3.0,vallecano
Andrejs Ciganiks,37075484.0,3.5,13.12,12.0,11.08,1.5,3.0,1.75,2.5,vigo
Octavian Popescu,57175903.0,1.75,13.38,14.0,11.83,2.0,2.0,2.25,1.75,vigo
Dawid Kownacki,96059679.0,1.75,12.88,13.5,13.33,2.75,3.0,2.0,2.25,vigo
Javi Ontiveros,67211745.0,1.0,12.5,14.5,11.67,1.0,3.0,2.5,1.5,villareal
Alfonso Pedraza,67212046.0,3.0,12.75,12.5,13.92,2.5,4.0,2.0,2.0,villareal
Francisco Conceição,83261140.0,3.25,12.12,13.5,12.33,2.0,2.5,3.0,1.75,villareal
Alejandro Balde,67296654.0,2.5,13.75,14.0,12.75,2.5,3.0,2.0,2.75,zaragoza
Ruben Vargas,98041215.0,1.75,13.38,14.0,12.42,3.0,2.0,2.5,3.25,zaragoza
Eric Kahl,93142833.0,2.25,13.88,14.5,12.92,3.75,2.0,2.0,2.25,zaragoza
Luis Carbonell,95078291.0,1.25,13.25,13.5,11.33,2.25,2.0,2.5,2.75,zaragoza
Jesus Carrasco,2000439537.0,2.0,12.25,15.0,10.0,2.5,3.0,2.5,3.0,zaragoza
Malcom,19229435.0,2.25,13.5,15.0,12.33,3.0,2.5,2.5,2.25,zaragoza
Marvin,67277459.0,4.5,11.75,15.0,9.67,3.25,3.5,2.0,1.5,zaragoza
Ander Imaz,2000439533.0,2.5,13.5,16.0,9.75,2.25,4.0,2.0,3.0,zaragoza
